ingredient;metric;us;;;
almond milk;237 ml;1 cup;;;
almonds;125 g ;1 cup;;;
apples ;120 g ;1 cup;;;
apricots ;50 g;0.25 cups;;;
arugula;;;;;
bananas, diced;145 g ;1 cup;;;
basil, loosely packed;10 g;1 cup;;;
bean sprouts;;;;;
bell peppers;130 g;1 cup, chopped;;;
brandy;59 ml;1/4 cup;;;
breadcrumbs;100 g ;2 cup;;;
brown sugar;220 g;1 cup, firmly packed;;;
butter;224 g;1 cup;;;
buttermilk;236 ml;1 cup;;;
button mushrooms;;;;;
canned tomatoes;;;;;
carrot (grated);110 g;1 cup;;;
carrots;100 g;1 medium carrot;;;
cashews;125 g;1 cup;;;
caviar;14 g;1 Tbsp;;;
cheddar cheese;;;;;
cherries;207 g;1 1/2 cup;;;
cherry juice;118 ml;1/2 cup;;;
cherry tomatoes; 160 g;1 cup, halved;;;
cherry tomatoes;200 g;1 cup whole;;;
chicken stock;59 ml;1/4 cup;;;
chives;;;;;
chocolate, bittersweet;;;;;
chocolate, white;;;;;
chocolate chips;;;;;
cocoa powder;82 g;1 cup;;;
coconut milk;125 ml;1/2 cup;;;
corn starch;115 g;1 cup;;;
sugar, confectioner's;128 g;1 cup;;;
cranberries;140 g;1 cup ;;;
cream, heavy;79 g;1/3 cup;;;
cream cheese;30 g;;;;
cucumber (whole, large);407 g;1 English cucumber;;;
cucumber, diced;90 g;1/2 cup;;;
dates;135 g;1 cup;;;
eggplant (whole, medium);359 g;------;;;
eggplant, diced;74 g;1 cup;;;
flour (all purpose);120 g;1 cup;;;
flour, buckwheat ;120 g;1 cup;;;
frozen peas;140 g;;;;
garlic/ginger;7 g;1 tbsp ;;;
graham crackers;150 g;1 1/2 cups;;;
grapes;100 g;0.75 cups ;;;
halloumi;227 g;8 oz;;;
hazelnuts;100 g;0.66 cups;;;
honey;20 g;1 Tbsp;;;
lentins, green;170 g;1 cup;;;
mango (dried);50 g;0.50 cups;;;
matcha powder;3 g;1 Tbsp;;;
milk;237 ml;1 cup;;;
millet;100 g;1/2 cup;;;
mint;;;;;
miso paste;20 g;1 Tbsp;;;
mussels ;;;;;
mustard;12 g;1 Tbsp;;;
olives;180 g;1 cup;;;
paprika;6 g;1 Tbsp;;;
peanut butter;256 g;1 cup;;;
peanuts;125 g;1 cup;;;
pine nuts;110 g;1 cup;;;
polenta;;;;;
puff pastry;482 g;17 oz;;;
pumpkin seeds;;;;;
radish ;150 g;1 cup;;;
raisins ;140 g;1 cup;;;
rasp./blackberries (fresh);100 g;1 cup ;;;
raspberries, frozen;78 g;1/2 cup;;;
rice, basmati;226 g;1 cup;;;
scampi;;;;;
spinacch;40 g;2 cup, loosely packed;;;
sugar;200 g;1 cup ;;;
sugar, powdered;128 g;1 cup;;;
sunflower seeds ;;;;;
tarragon;;;;;
tomatoes, sundried;14 g;2 Tbsp;;;
vanilla sugar (one packet);9 g;1 Tbsp;;;
vegetable oil;237 ml;1 cup;;;
vegetable stock;238 ml;1 cup;;;
walnuts;125 g;1 cup;;;
water;100 ml;1/2 cup;;;
yogurt ;227 g;1 cup;;;
